"title","minrate","mincost"
Stepmom Dream,0.99,9.99
Sting Personal,0.99,9.99
Stock Glass,0.99,9.99
Stone Fire,0.99,9.99
Storm Happiness,0.99,9.99
Story Side,0.99,9.99
Straight Hours,0.99,9.99
Strangelove Desire,0.99,9.99
Stranger Strangers,0.99,9.99
Tights Dawn,0.99,9.99
Strangers Graffiti,0.99,9.99
Streak Ridgemont,0.99,9.99
Streetcar Intentions,0.99,9.99
Strictly Scarface,0.99,9.99
Submarine Bed,0.99,9.99
Sugar Wonka,0.99,9.99
Suicides Silence,0.99,9.99
Suit Walls,0.99,9.99
Summer Scarface,0.99,9.99
Sun Confessions,0.99,9.99
Sundance Invasion,0.99,9.99
Sunrise League,0.99,9.99
Sunset Racer,0.99,9.99
Super Wyoming,0.99,9.99
Superfly Trip,0.99,9.99
Suspects Quills,0.99,9.99
Swarm Gold,0.99,9.99
Sweden Shining,0.99,9.99
Timberland Sky,0.99,9.99
Sweet Brotherhood,0.99,9.99
Sweethearts Suspects,0.99,9.99
Tadpole Park,0.99,9.99
Talented Homicide,0.99,9.99
Tarzan Videotape,0.99,9.99
Taxi Kick,0.99,9.99
Teen Apollo,0.99,9.99
Telegraph Voyage,0.99,9.99
Telemark Heartbreakers,0.99,9.99
Temple Attraction,0.99,9.99
Tenenbaums Command,0.99,9.99
Tequila Past,0.99,9.99
Terminator Club,0.99,9.99
Texas Watch,0.99,9.99
Theory Mermaid,0.99,9.99
Thief Pelican,0.99,9.99
Thin Sagebrush,0.99,9.99
Ties Hunger,0.99,9.99
Titanic Boondock,0.99,9.99
Titans Jerk,0.99,9.99
Tomatoes Hellfighters,0.99,9.99
Tomorrow Hustler,0.99,9.99
Tootsie Pilot,0.99,9.99
Torque Bound,0.99,9.99
Tourist Pelican,0.99,9.99
Towers Hurricane,0.99,9.99
Town Ark,0.99,9.99
Tracy Cider,0.99,9.99
Trading Pinocchio,0.99,9.99
Traffic Hobbit,0.99,9.99
Train Bunch,0.99,9.99
Trainspotting Strangers,0.99,9.99
Tramp Others,0.99,9.99
Translation Summer,0.99,9.99
Trap Guys,0.99,9.99
Treasure Command,0.99,9.99
Treatment Jekyll,0.99,9.99
Trip Newton,0.99,9.99
Trojan Tomorrow,0.99,9.99
Troopers Metal,0.99,9.99
Trouble Date,0.99,9.99
Truman Crazy,0.99,9.99
Turn Star,0.99,9.99
Tuxedo Mile,0.99,9.99
Twisted Pirates,0.99,9.99
Tycoon Gathering,0.99,9.99
Unbreakable Karate,0.99,9.99
Uncut Suicides,0.99,9.99
Undefeated Dalmations,0.99,9.99
Unfaithful Kill,0.99,9.99
Unforgiven Zoolander,0.99,9.99
United Pilot,0.99,9.99
Untouchables Sunrise,0.99,9.99
Uprising Uptown,0.99,9.99
Uptown Young,0.99,9.99
Usual Untouchables,0.99,9.99
Vacation Boondock,0.99,9.99
Valentine Vanishing,0.99,9.99
Valley Packer,0.99,9.99
Vampire Whale,0.99,9.99
Vanilla Day,0.99,9.99
Vanished Garden,0.99,9.99
Vanishing Rocky,0.99,9.99
Varsity Trip,0.99,9.99
Velvet Terminator,0.99,9.99
Vertigo Northwest,0.99,9.99
Victory Academy,0.99,9.99
Videotape Arsenic,0.99,9.99
Vietnam Smoochy,0.99,9.99
Villain Desperate,0.99,9.99
Virgin Daisy,0.99,9.99
Virginian Pluto,0.99,9.99
Virtual Spoilers,0.99,9.99
Vision Torque,0.99,9.99
Voice Peach,0.99,9.99
Volcano Texas,0.99,9.99
Volume House,0.99,9.99
Voyage Legally,0.99,9.99
Wagon Jaws,0.99,9.99
Wait Cider,0.99,9.99
Wake Jaws,0.99,9.99
Walls Artist,0.99,9.99
Wanda Chamber,0.99,9.99
War Notting,0.99,9.99
Wardrobe Phantom,0.99,9.99
Warlock Werewolf,0.99,9.99
Wars Pluto,0.99,9.99
Wash Heavenly,0.99,9.99
Wasteland Divine,0.99,9.99
Watch Tracy,0.99,9.99
Waterfront Deliverance,0.99,9.99
Watership Frontier,0.99,9.99
Wedding Apollo,0.99,9.99
Weekend Personal,0.99,9.99
Werewolf Lola,0.99,9.99
West Lion,0.99,9.99
Westward Seabiscuit,0.99,9.99
Whale Bikini,0.99,9.99
Whisperer Giant,0.99,9.99
Wife Turn,0.99,9.99
Wild Apollo,0.99,9.99
Willow Tracy,0.99,9.99
Wind Phantom,0.99,9.99
Window Side,0.99,9.99
Wisdom Worker,0.99,9.99
Witches Panic,0.99,9.99
Wizard Coldblooded,0.99,9.99
Wolves Desire,0.99,9.99
Women Dorado,0.99,9.99
Won Dares,0.99,9.99
Wonderful Drop,0.99,9.99
Wonderland Christmas,0.99,9.99
Wonka Sea,0.99,9.99
Words Hunter,0.99,9.99
Worker Tarzan,0.99,9.99
Working Microcosmos,0.99,9.99
World Leathernecks,0.99,9.99
Worst Banger,0.99,9.99
Wrath Mile,0.99,9.99
Wrong Behavior,0.99,9.99
Wyoming Storm,0.99,9.99
Yentl Idaho,0.99,9.99
Young Language,0.99,9.99
Youth Kick,0.99,9.99
Zhivago Core,0.99,9.99
Zoolander Fiction,0.99,9.99
Zorro Ark,0.99,9.99
